disease_illness_name,standard
Food Poisoning (Bamangadh),Food Poisoning (Bamangadh)
Food Poisoning (Caster Fruit),Food Poisoning (Caster Fruit)
Food Poisoning (EIEC and Shigella),Food Poisoning (EIEC and Shigella)
Food Poisoning (Mushroom Poisoning),Food Poisoning (Mushroom Poisoning)
Suspected Food Poisoning (Mushroom Poisoning),Food Poisoning (Mushroom Poisoning)
Food Poisoning (NandoVirus),Food Poisoning (NandoVirus)
Food Poisoning (Salmonellosis),Food Poisoning (Salmonellosis)
Food Poisoning (Seed),Food Poisoning (Seed)
Food Poisoning (Shigella Sonnie),Food Poisoning (Shigella Sonnie)
Food Poisoning (Staphylococcus),Food Poisoning (Staphylococcus)
Food poisoning (Trichinosis),Food poisoning (Trichinosis)
Forest Disease,Forest Disease
Gas Poisoning,Gas Poisoning
Gastroenteritis,Gastroenteritis
H1N1,H1N1
H3N2,H3N2
Hand Foot and Mouth Disease,"Hand, Foot and Mouth Disease (HFMD)"
"Hand, Foot and Mouth Disease","Hand, Foot and Mouth Disease (HFMD)"
Hepatitis,Hepatitis
Hepatitis A,Hepatitis A
Hepatitis A & E,Hepatitis A & E
Hepatitis A and B and Leptospirosis,Hepatitis A and B and Leptospirosis
Hepatitis A and E,Hepatitis A and E
Hepatitis A and Leptospirosis,Hepatitis A and Leptospirosis
Hepatitis and Jaundice,Hepatitis and Jaundice
Hepatitis B,Hepatitis B
Hepatitis B and C,Hepatitis B and C
Hepatitis C,Hepatitis C
Hepatitis E,Hepatitis E
Herpes Simplex Encephalitis,Herpes Simplex Encephalitis
HFMD,"Hand, Foot and Mouth Disease"
HMPV,Human metapneumovirus (HMPV)
Human Rabies,Human Rabies
Indigenous Malaria,Indigenous Malaria
Influenza,Influenza
Influenza A,Influenza A
Influenza B,Influenza B
Influenza like illness,Influenza like illness
Japanese Encephalitis,Japanese Encephalitis
Jatropha Seeds Poisoning,Jatropha Seeds Poisoning
Jaundice,Jaundice
Jaundice of less than 4 weeks,Jaundice
Kala Azar,Kala Azar
Kyasanur Fandest Disease,Kyasanur Fandest Disease
Leishmaniasis,Leishmaniasis
Leptospiro sis,Leptospirosis
Leptospirosi s,Leptospirosis
Leptospirosis,Leptospirosis
Leptospirosis and Scrub Typhus,Leptospirosis and Scrub Typhus
Scrub Typhus and Leptospirosis,Leptospirosis and Scrub Typhus
Leptospirosis and Typhoid,Leptospirosis and Typhoid
Lyme Disease,Lyme Disease
Malaria,Malaria
Malaria (Mixed),Malaria (Mixed)
Malaria (P. vivax & P.falciparu m),Malaria (P.falciparum & P.vivax)
Malaria (P. vivax & P.falciparum),Malaria (P.falciparum & P.vivax)
Malaria (P.falciparu m & P.vivax),Malaria (P.falciparum & P.vivax)
Malaria (P.falciparum & P.vivax),Malaria (P.falciparum & P.vivax)
Malaria (P.falciparum and P.vivax),Malaria (P.falciparum & P.vivax)
Malaria (P.vivax & P.falciparum),Malaria (P.falciparum & P.vivax)
Malaria (P.falciparum and P.vivax) and Dengue,Malaria (P.falciparum and P.vivax) and Dengue
Malaria (P.falciparum),Malaria (P.falciparum)
Malaria (P.vivax),Malaria (P.vivax)
Malaria (Plasmodium Falciparum),Malaria (P.falciparum)
Malaria (Plasmodiu m Vivax),Malaria (P.vivax)
Malaria (Plasmodium Vivax),Malaria (P.vivax)
Malaria and Dengue,Malaria and Dengue
Malaria and Leptospirosis,Malaria and Leptospirosis
Measles,Measles
Measles and Rubella,Measles and Rubella
Melioidosis,Melioidosis
Meningitis,Meningitis
Meningococcal Meningitis,Meningococcal Meningitis
Methanol Poisoning,Methanol Poisoning
Mixed Fever,Mixed Fever
Mixed Malaria (Plasmodium falciparum & Plasmodium vivax),Mixed Malaria (Plasmodium falciparum & Plasmodium vivax)
Monkey Pox,Monkey Pox
Mpox,Mpox
Mpox (Clade I),Mpox (Clade I)
Mumps,Mumps
Mushroom Poisoning,Mushroom Poisoning
Nandovirus,Nandovirus
Neonatal Tetanus,Neonatal Tetanus
Nile Fever,Nile Fever
Nipah Viral Disease,Nipah Viral Disease
Nipah Viral Encephalitis,Nipah Viral Encephalitis
Nipah Virus,Nipah Virus
Only Fever less than 7 days,Fever
Others,Others
Paederus Dermatitis From Rove Beetle,Paederus Dermatitis From Rove Beetle
Paratyphoid,Paratyphoid
Pare,Pare
Pertussis,Pertussis
Poisoning,Poisoning
Poliomyelitis (Vaccine-Derived Polio Virus),Poliomyelitis (Vaccine-Derived Polio Virus)
Primary Amoebic Meningo-encephalitis,Primary Amoebic Meningo-encephalitis
Pyrexia of Unknown andigin (PUO),Pyrexia of Unknown andigin (PUO)
Rabies,Rabies
Rickettsia Scrub Typhus,Rickettsia Scrub Typhus
Rubella,Rubella
Salmonella Gastroenteritis,Salmonella Gastroenteritis
Salmonellosis,Salmonellosis
Scabies,Scabies
Scrub Typhus,Scrub Typhus
Scrub Typhus and Chikungunya,Scrub Typhus and Chikungunya
Scrub Typhus and Dengue and Chikungunya,Scrub Typhus and Dengue and Chikungunya
Scrub Typhus and Dengue and Leptospirosis,Scrub Typhus and Dengue and Leptospirosis
Seasonal Influenza,Seasonal Influenza
Shigellosis,Shigellosis
Singhbum,Singhbum
Staphylococcal Food Poisoning,Staphylococcal Food Poisoning
Sub cutaneous Wandm,Subcutaneous Wound
Suspected,
Suspected Acute Hepatitis,Suspected Acute Hepatitis
Suspected Anthrax,Suspected Anthrax
Suspected Dengue Fever,Suspected Dengue Fever
Suspected Food Poisoning,Suspected Food Poisoning
Suspected Food Poisoning (Salmonella),Suspected Food Poisoning (Salmonella)
Suspected Hepatitis,Suspected Hepatitis
Suspected HFMD,"Suspected Hand, Foot and Mouth Disease (HFMD)"
Suspected Human Rabies,Suspected Human Rabies
Suspected Japanese Encephalitis,Suspected Japanese Encephalitis
Suspected Measles,Suspected Measles
Suspected Mumps,Suspected Mumps
Suspected Mushroom Poisoning,Suspected Mushroom Poisoning
Suspected Scrub Typhus,Suspected Scrub Typhus
Suspected Typhoid,Suspected Typhoid
Swine Flu (H1N1),Swine Flu (H1N1)
Tetanus,Tetanus
Trichinella,Trichinella
Trichinellosis,Trichinellosis
Trypanosomiasis,Trypanosomiasis
Typhoid,Typhoid
Typhoid and Chikungunya,Typhoid and Chikungunya
Typhoid and Hepatitis E,Typhoid and Hepatitis-E
Typhoid Fever,Typhoid Fever
"Typhoid, Dengue and Scrub Typhus","Typhoid, Dengue and Scrub Typhus"
Un Differentiated Fever,Un Differentiated Fever
"Uneasiness, Vomiting and Diarrhoea","Uneasiness, Vomiting and Diarrhoea"
Upper Respiratandy Tract Infection (URTI),Upper Respiratandy Tract Infection (URTI)
Viral Encephalitis,Viral Encephalitis
Viral Exanthems (Multiple Papulo Pustular Lesions),Viral Exanthems (Multiple Papulo Pustular Lesions)
Viral Fever,Viral Fever
Viral Fever (Chikungunya),Viral Fever (Chikungunya)
Viral Fever (Dengue and Chikungunya),Viral Fever (Dengue and Chikungunya)
Viral Fever (Dengue),Viral Fever (Dengue)
Viral Fever (Leptospirosis and Chikungunya),Viral Fever (Leptospirosis and Chikungunya)
Viral Fever (Leptospirosis),Viral Fever (Leptospirosis)
Viral Hepatitis,Viral Hepatitis
Viral Infection,Viral Infection
Visceral Leishmaniasis,Visceral Leishmaniasis
Vitamin A Overdosage,Vitamin A Overdosage
Vivax Malaria,Vivax Malaria
Vomiting and Diarrhoea,Vomiting and Diarrhoea
West Nile and Dengue,West Nile and Dengue
West Nile Fever,West Nile Fever
Zika Virus,Zika Virus
