remarks,current_cin,to_delete,replace,cin_1,company_name_1,cin_2,company_name_2,cin_3,company_name_3
Company Names aren't Matching,CIN-1,L40108WB2005PLC139595,,L40108UP2005PLC094368,TECHNO ELECTRIC & ENGG. CO. LTD.,L40108WB2005PLC139595,TECHNO ELECTRIC & ENGINEERING COMPANYLIMITED,,
Company Names aren't Matching,CIN-1,U51102MH1997PTC384266,,U51102DL1997PTC084253,MERCER CONSULTING (INDIA),U51102MH1997PTC384266,MERCER CONSULTING (INDIA) PRIVATE LIMITED,,
Company Names aren't Matching,CIN-1,U63040KA2007PTC041672,,U63040DL2007PTC392725,EBIX TRAVELS PRIVATE LIMITED,U63040KA2007PTC041672,Flight Raja Travels Private Limited,,
Company Names aren't Matching,CIN-1,U72200TG2004PTC043074,,U72200HR2004PTC111642,CONCENTRIX CATALYST TECHNOLOGIES PRIVATE LIMITED,U72200TG2004PTC043074,PROKARMA SOFTECH PRIVATE LIMITED,,
Company Names aren't Matching,CIN-1,U15511DD1986PTC000674,,U45100DD1986PTC000674,REGENT FIRST PRIVATE LIMITED,U15511DD1986PTC000674,ROYAL DISTILLERY PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,"L92199GJ1999PLC044045, U09211DL1999PLC102338",,L92199GJ1999PLC044045,INOX LEISURE,L92199MH1999PLC353754,INOX LEISURE LIMITED,U09211DL1999PLC102338,INOX LEISURE LIMITED
Company Names aren't Matching,CIN-2,"U02423MP2005PTC017508, U24100GJ2008PTC094542",,U02423MP2005PTC017508,MAPAEX REMEDIES,U02423GJ2005PTC094538,MAPAEX REMEDIES PRIVATE LIMITED,U24100GJ2008PTC094542,MAPAEX REMEDIES PRIVATE LIMITED
Company Names aren't Matching,CIN-2,"U74899DL1979PTC021614, U74999RJ1979PTC001862",,U74899DL1979PTC021614,PURAN ASSOCIATES,U65100DL1979PTC021614,PURAN ASSOCIATES PRIVATE LIMITED,U74999RJ1979PTC001862,PURAN ASSOCIATES PRIVATE LIMITED
Company Names aren't Matching,CIN-2,U01119DL1991PTC044223,,U01119DL1991PTC044223,NOBLE RESOURCES AND TRADING INDIA,U01119MH1991PTC298139,NOBLE RESOURCES AND TRADING INDIA PRIVATE LIMITED.,,
Company Names aren't Matching,CIN-2,U45201KA1993PTC014334,,U45201KA1993PTC014334,YOGA BUILDERS,U45201CT1993PTC002100,YOGA BUILDERS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U24233HR2010FTC056081,,U24233HR2010FTC056081,NIHON PARKERIZING (INDIA) PRIVATE LIMITED,U27100HR2010FTC056081,NIHON PARKERIZING (INDIA) PRIVATELIMITED,,
Company Names aren't Matching,CIN-2,U74899HR1995PTC041680,,U74899HR1995PTC041680,IKM INVESTORS,U74899DL1995PTC394200,IKM INVESTORS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U40100MH2003PTC141764,,U40100MH2003PTC141764,OMSAIRAM STEELS AND ALLOYS PRIVATE LIMITED,U27100MH2003PTC141764,OMSAIRAM STEELS AND ALLOYS PRIVATELIMITED,,
Company Names aren't Matching,CIN-2,U01514KA1995PTC018144,,U01514KA1995PTC018144,M K AGROTECH,U11100KA1995PTC018144,M K AGROTECH PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U05149KA2003PTC031507,,U05149KA2003PTC031507,MOOG MOTION CONTROLS,U05149KA2003FTC031507,MOOG MOTION CONTROLS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U00111KA2006PTC390000,,U00111KA2006PTC390000,NARAYAN,U51900WB2005PTC102304,NARAYANI SONS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U63090GJ1987PTC010212,,U63090GJ1987PTC010212,NABROS TRANSPORT,U05000GJ1987PTC010212,NABROS TRANSPORT PVT LTD,,
Company Names aren't Matching,CIN-2,U74999MH1937PTC16806,,U74999MH1937PTC16806,SRI DEVI TOOL ENGINEERS,U74999MH1973PTC016806,SRI DEVI TOOL ENGINEERS PRIVATE LIMITED,,
